property_type,region,area_m2,price_usd,lat,lon,state
house,Northeast,159.0,109217.99,-14.841484,-39.028789,Brasil
house,Northeast,120.0,202833.42,-12.94748,-38.365459,Brasil
apartment,Northeast,58.0,76452.59,-12.939807,-38.367931,Brasil
apartment,Northeast,92.0,165387.25,-13.001169,-38.49419,Brasil
apartment,Northeast,77.0,140423.14,-12.990577,-38.510612,Brasil
apartment,Northeast,145.0,191131.49,-13.000443,-38.45739,Brasil
apartment,Northeast,90.0,99856.45,-12.9371316,-38.3556842,Brasil
apartment,Northeast,180.0,143543.65,-14.837616,-39.028094,Brasil
apartment,Northeast,203.0,265243.71,-13.000443,-38.45739,Brasil
apartment,Northeast,75.0,118579.54,-12.981397,-38.441444,Brasil
house,Northeast,110.0,218435.99,-12.852844,-38.32711,Brasil
apartment,Northeast,140.0,230918.05,-12.9429024,-38.3982041,Brasil
apartment,Northeast,210.0,343256.56,-12.9429024,-38.3982041,Brasil
apartment,Northeast,133.0,176777.13,-12.9994819,-38.4560755,Brasil
apartment,Northeast,130.0,112338.51,-12.9808155,-38.5086421,Brasil
apartment,Northeast,134.0,316732.19,-12.992472,-38.52298,Brasil
apartment,Northeast,120.0,186294.7,-12.9890124,-38.4392045,Brasil
apartment,Northeast,93.0,145103.91,-12.9994819,-38.4560755,Brasil
apartment,Northeast,70.0,123260.31,-13.0002554,-38.5188762,Brasil
apartment,Northeast,112.0,237159.08,-12.950598,-38.40873,Brasil
